"id_fiche";"titreActivités - {{listefiche18}}";"listefiche18 *";"liste165bf_activites_ancrage_positionnement";"checkbox35bf_ancrage_disciplinaire";"textebf_ta_exp_tmp_nombre_20101";"textebf_ta_exp_tmp_duree_20101";"textebf_ta_exp_tmp_etpa_20101";"radio110bf_ta_exposition_concues_2010";"textebf_ta_exposition_concues_nb_20101";"radio111bf_ta_exposition_interne_2010";"textebf_ta_exposition_interne_nb_20101";"radio112bf_ta_exposition_partenariat_2010";"textebf_ta_exposition_partenariat_nb_20101";"radio113bf_ta_exposition_recues_2010";"textebf_ta_exposition_recues_nb_20101";"radio114bf_ta_exposition_ateliers_2010";"textebf_ta_exposition_ateliers_nb_seances_20101";"radio115bf_ta_action_conferences_2010";"textebf_ta_action_conferences_nb_20101";"radio116bf_ta_action_visites_guidees_2010";"textebf_ta_action_visites_guidees_nb_heures_20101";"radio117bf_ta_action_actions_itinerantes_2010";"textebf_ta_action_actions_itinerantes_nb_20101";"radio118bf_ta_action_evenementiel_2010";"textebf_ta_action_evenementiel_nb_20101";"radio119bf_ta_action_formation_2010";"textebf_ta_action_formation_nb_20101";"radio120bf_ta_action_ecole_nature_2010";"textebf_ta_action_ecole_nature_nb_20101";"radio121bf_ta_action_autre_2010";"textebf_ta_action_autre_nom_2010";"textebf_ta_action_autre_nb_20101";"radio184bf_ta_gestion_collections_2010";"radio166bf_ta_operations_preparations_2010";"textebf_ta_operations_preparations_nb_20101";"radio167bf_ta_operations_restaurations_2010";"textebf_ta_operations_restaurations_nb_20101";"radio185bf_ta_ressources_2010";"textebf_ta_ressources_nbouvrages_20101";"textebf_ta_ressources_nbconsultations_20101";"radio122bf_ta_recherche_travaux_2010";"textebf_ta_recherche_travaux_nb_20101";"radio123bf_ta_recherche_terrain_2010";"textebf_ta_recherche_terrain_nb_20101";"radio124bf_ta_recherche_publications_2010";"textebf_ta_recherche_publications_nb_20101";"radio121bf_ta_recherche_autre_2010";"textebf_ta_recherche_autre_nom_2010";"textebf_ta_recherche_autre_nb_20101";"radio186bf_ta_expertise_2010";"textebf_ta_expertise_nbdemandes_20101";"radio187bf_ta_conseil_2010";"textebf_ta_conseil_nbdemarches_20101";"radio188bf_ta_formation_2010";"textebf_ta_formation_nbheures_20101";"radio125bf_ta_production_papier_2010";"textebf_ta_production_papier_nb_20101";"radio126bf_ta_production_multimedia_2010";"textebf_ta_production_multimedia_nb_20101";"radio189bf_ta_reseaux_2010";"radio190bf_ta_rencontres_2010";"radio191bf_ta_coord_proj_locaux_2010";"radio192bf_ta_coord_proj_regionaux_2010";"radio193bf_ta_coord_proj_nationaux_2010";"radio194bf_ta_coord_proj_euro_2010";"radio195bf_ta_coord_proj_mondiaux_2010";"radio196bf_ta_appels_projet_2010";"radio197bf_ta_autre_type1_2010";"textebf_ta_autre_type1_nom_2010";"radio197bf_ta_autre_type2_2010";"textebf_ta_autre_type2_nom_2010";"radio197bf_ta_autre_type3_2010";"textebf_ta_autre_type3_nom_2010";"radio197bf_ta_autre_type4_2010";"textebf_ta_autre_type4_nom_2010";"textebf_ta_exp_tmp_nombre_20111";"textebf_ta_exp_tmp_duree_20111";"textebf_ta_exp_tmp_etpa_20111";"radio110bf_ta_exposition_concues_2011";"textebf_ta_exposition_concues_nb_20111";"radio111bf_ta_exposition_interne_2011";"textebf_ta_exposition_interne_nb_20111";"radio112bf_ta_exposition_partenariat_2011";"textebf_ta_exposition_partenariat_nb_20111";"radio113bf_ta_exposition_recues_2011";"textebf_ta_exposition_recues_nb_20111";"radio114bf_ta_exposition_ateliers_2011";"textebf_ta_exposition_ateliers_nb_seances_20111";"radio115bf_ta_action_conferences_2011";"textebf_ta_action_conferences_nb_20111";"radio116bf_ta_action_visites_guidees_2011";"textebf_ta_action_visites_guidees_nb_heures_20111";"radio117bf_ta_action_actions_itinerantes_2011";"textebf_ta_action_actions_itinerantes_nb_20111";"radio118bf_ta_action_evenementiel_2011";"textebf_ta_action_evenementiel_nb_20111";"radio119bf_ta_action_formation_2011";"textebf_ta_action_formation_nb_20111";"radio120bf_ta_action_ecole_nature_2011";"textebf_ta_action_ecole_nature_nb_20111";"radio121bf_ta_action_autre_2011";"textebf_ta_action_autre_nom_2011";"textebf_ta_action_autre_nb_20111";"radio184bf_ta_gestion_collections_2011";"radio166bf_ta_operations_preparations_2011";"textebf_ta_operations_preparations_nb_20111";"radio167bf_ta_operations_restaurations_2011";"textebf_ta_operations_restaurations_nb_20111";"radio185bf_ta_ressources_2011";"textebf_ta_ressources_nbouvrages_20111";"textebf_ta_ressources_nbconsultations_20111";"radio122bf_ta_recherche_travaux_2011";"textebf_ta_recherche_travaux_nb_20111";"radio123bf_ta_recherche_terrain_2011";"textebf_ta_recherche_terrain_nb_20111";"radio124bf_ta_recherche_publications_2011";"textebf_ta_recherche_publications_nb_20111";"radio121bf_ta_recherche_autre_2011";"textebf_ta_recherche_autre_nom_2011";"textebf_ta_recherche_autre_nb_20111";"radio186bf_ta_expertise_2011";"textebf_ta_expertise_nbdemandes_20111";"radio187bf_ta_conseil_2011";"textebf_ta_conseil_nbdemarches_20111";"radio188bf_ta_formation_2011";"textebf_ta_formation_nbheures_20111";"radio125bf_ta_production_papier_2011";"textebf_ta_production_papier_nb_20111";"radio126bf_ta_production_multimedia_2011";"textebf_ta_production_multimedia_nb_20111";"radio189bf_ta_reseaux_2011";"radio190bf_ta_rencontres_2011";"radio191bf_ta_coord_proj_locaux_2011";"radio192bf_ta_coord_proj_regionaux_2011";"radio193bf_ta_coord_proj_nationaux_2011";"radio194bf_ta_coord_proj_euro_2011";"radio195bf_ta_coord_proj_mondiaux_2011";"radio196bf_ta_appels_projet_2011";"radio197bf_ta_autre_type1_2011";"textebf_ta_autre_type1_nom_2011";"radio197bf_ta_autre_type2_2011";"textebf_ta_autre_type2_nom_2011";"radio197bf_ta_autre_type3_2011";"textebf_ta_autre_type3_nom_2011";"radio197bf_ta_autre_type4_2011";"textebf_ta_autre_type4_nom_2011";"checkbox173bf_web_site";"textebf_web_site_adresse";"liste26bf_web_site_visite_virtuelle";"checkbox170bf_web_reseaux_sociaux";"checkbox171bf_web_publications";"textebf_web_newsletter_frequence";"textebf_web_newsletter_adhesions";"checkbox172bf_web_usage_activite";"liste198bf_degre_exposition_collections"
22;;"AIX-EN-PROVENCE - MUSÉUM D\'HISTOIRE NATURELLE";"Plurithématique";"Environnement, écologie, sciences de la Terre, agronomie, Sciences du vivant, médecine, biologie, Sciences humaines et sociales";"4";;;"principale";"4";"";;"";;"";;"principale";;"secondaire";;"principale";;"";;"principale";;"";;"";;"";;;"principale";"";;"";;"secondaire";;;"";;"";;"";;"";;;"";;"";;"";;"secondaire";;"secondaire";;"principale";"";"";"";"";"";"";"";"";;"";;"";;"";;"5";"12";"5";"";;"principale";"3";"secondaire";"2";"";;"principale";"364";"secondaire";;"secondaire";;"";;"";;"secondaire";"2";"";;"secondaire";"évolution";"1";"principale";"principale";"100";"principale";"7600";"principale";"2000";"20";"principale";"2";"principale";"3";"principale";"5";"";;;"secondaire";;"principale";"30";"principale";"6";"";;"principale";"3";"principale";"principale";"";"";"";"principale";"";"";"";;"";;"";;"";;"Site dédié";"www.museum-aix-en-provence.org";"non";"Aucun";"Aucune";;;"Communication, Valorisation patrimoniale, Valorisation scientifique";"moins de 10%"
33;;"ANGERS - MUSÉUM DES SCIENCES NATURELLES";"Plurithématique";"Environnement, écologie, sciences de la Terre, agronomie, Sciences du vivant, médecine, biologie";"2";;;"secondaire";"1";"";;"";;"secondaire";"1";"secondaire";;"secondaire";;"secondaire";;"secondaire";;"principale";;"principale";;"";;"";;;"principale";"";;"";;"secondaire";;;"";;"";;"";;"";;;"";;"secondaire";;"";;"";;"";;"";"";"";"";"";"";"";"";"";;"";;"";;"";;"1";"9";;"principale";"1";"";;"principale";"1";"";;"";;"";;"principale";;"";;"principale";"4";"";;"";;"";;;"principale";"principale";"8";"principale";"75";"principale";"7000";;"";;"";;"principale";"3";"";;;"principale";"4";"";;"";;"";;"";;"";"";"";"";"";"";"";"";"";;"";;"";;"";;"Page ou rubrique sur un site (ex: sur le site de la mairie)";"www.angers.fr/museum";"non";"Aucun";"";;;"Communication, Valorisation patrimoniale, Valorisation scientifique";"10% à < 25%"
278;;"ANNECY - MUSÉES DE L\'AGGLOMÉRATION D\'ANNECY / MUSÉE-CHÂTEAU";"Plurithématique";"Environnement, écologie, sciences de la Terre, agronomie";;;;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;;"";"";;"";;"";;;"";;"";;"";;"";;;"";;"";;"";;"";;"";;"";"";"";"";"";"";"";"";"";;"";;"";;"";;"1";"5";;"principale";;"principale";"1";"";;"";;"principale";"30";"principale";"5";"principale";"20";"";;"";;"";;"";;"";;;"principale";"";;"secondaire";"1";"principale";"7700";"50";"";;"";;"";;"";;;"secondaire";"5";"secondaire";"5";"";;"";;"";;"";"";"secondaire";"";"";"";"";"";"";;"";;"";;"";;"Site dédié";"http://www.patrimoines.agglo-annecy.fr/Agenda";"non";"Aucun";"Lettre d'information";"4 par an";"5000";"Communication, Valorisation patrimoniale";"moins de 10%"
97;;"AURILLAC - MUSÉUM DES VOLCANS";"Plurithématique";"Environnement, écologie, sciences de la Terre, agronomie, Sciences du vivant, médecine, biologie, Sciences humaines et sociales";"2";;;"principale";"1";"";;"";;"principale";"1";"principale";;"secondaire";;"secondaire";;"";;"secondaire";;"";;"";;"";;;"principale";"";;"";;"secondaire";;;"";;"";;"";;"";;;"";;"";;"";;"";;"";;"";"";"";"";"";"";"";"";"";;"";;"";;"";;"1";"10";"1.5";"principale";"1";"";;"principale";"1";"";;"principale";"50";"principale";"8";"principale";"30";"";;"principale";"3";"";;"";;"principale";"hors les murs (fête de la science)";"1";"principale";"";;"";;"secondaire";;"5";"";;"";;"";;"";;;"";;"";;"";;"";;"";;"";"";"principale";"";"";"";"";"";"";;"";;"";;"";;"Page ou rubrique sur un site (ex: sur le site de la mairie)";"http://www.ville-aurillac.fr/index.php?option=com_content&view=article&id=83&Itemid=187";"non";"Aucun";"Aucune";;;"Communication";"moins de 10%"
67;;"AUTUN - MUSÉUM D\'HISTOIRE NATURELLE JACQUES DE LA COMBLE";"Plurithématique";"Environnement, écologie, sciences de la Terre, agronomie, Industrie, technologie, ingénierie, Sciences du vivant, médecine, biologie";"2";;;"principale";"2";"";;"";;"";;"principale";;"principale";;"principale";;"principale";;"";;"principale";;"";;"";;;"principale";"";;"";;"";;;"";;"";;"";;"";;;"";;"";;"";;"";;"";;"";"";"";"";"";"";"";"";"";;"";;"";;"";;"2";"13";;"principale";"2";"secondaire";;"principale";"2";"";;"principale";"100";"principale";"3";"principale";"20";"secondaire";;"";;"principale";"30";"principale";;"principale";"Hors les murs (visites de terrain)";"20";"principale";"principale";;"";;"principale";"10000";;"principale";"3";"principale";"10";"principale";"3";"";;;"principale";;"principale";;"principale";;"principale";;"principale";;"";"principale";"principale";"";"principale";"";"";"";"principale";"Café des sciences (copro UBourgogne)";"";;"";;"";;"Page ou rubrique sur un site (ex: sur le site de la mairie)";"www.shna-autun.net";"non";"Aucun";"Aucune";;;"Communication";"moins de 10%"
72;;"AUXERRE - MUSÉUM - MAISON DE L\'EAU";"Plurithématique";"Environnement, écologie, sciences de la Terre, agronomie, Histoire des sciences, Sciences du vivant, médecine, biologie";;;;"";;"";;"";;"";;"principale";;"secondaire";;"principale";;"secondaire";;"principale";;"principale";;"";;"";;;"principale";"";;"";;"secondaire";;;"";;"";;"";;"";;;"";;"";;"";;"";;"secondaire";;"secondaire";"";"";"";"";"";"";"";"";;"";;"";;"";;"6";"22.5";"3";"principale";"2";"principale";"2";"";;"principale";"4";"principale";"300";"secondaire";"1";"secondaire";"8";"";;"secondaire";"3";"secondaire";"15";"";;"";;;"principale";"principale";"63";"secondaire";"0";"secondaire";"1000";"5";"secondaire";"3";"secondaire";"0";"";;"";;;"secondaire";"23";"secondaire";"5";"";;"";;"";;"";"";"";"";"";"";"";"";"";;"";;"";;"";;"Page ou rubrique sur un site (ex: sur le site de la mairie)";"http://www.auxerre.com/vie_culturelle_museum_MEE_actu.html";"non";"Aucun";"Autre (dossier de presse, dossier pédagogique, plaquettes de découverte de la biodiversité à Auxerre)";;;"Communication, Médiation";"moins de 10%"
93;;"AVIGNON - MUSEUM REQUIEN";"Plurithématique";"Environnement, écologie, sciences de la Terre, agronomie, Sciences du vivant, médecine, biologie";"2";;;"secondaire";"1";"";;"";;"secondaire";"1";"";;"principale";;"secondaire";;"";;"";;"principale";;"";;"secondaire";"accueil stagiaires collégiens-lycéens ""découverte entreprise""";;"principale";"";;"";;"principale";;;"";;"";;"";;"";;;"";;"secondaire";;"";;"";;"";;"";"";"";"";"";"";"";"";"";;"";;"";;"";;"3";"14";"8";"principale";"2";"principale";"1";"principale";"1";"principale";"1";"";;"principale";"7";"";;"";;"principale";"3";"";;"";;"secondaire";;;"principale";"";;"principale";"3";"principale";"132";"57";"principale";"6";"principale";"2";"principale";"5";"";;;"principale";"10";"";;"principale";"20";"";;"";;"";"";"";"";"";"";"";"";"principale";"inventaires naturalistes locaux";"";;"";;"";;"Page ou rubrique sur un site (ex: sur le site de la mairie)";"www.fondation-calvet.org;www.museum-paca.org;www.mairie-avignon.fr";"non";"Aucun";"Aucune";;;"Communication";"moins de 10%"
108;;"BAYONNE - MUSÉUM D\'HISTOIRE NATURELLE";"Plurithématique";"Environnement, écologie, sciences de la Terre, agronomie, Sciences du vivant, médecine, biologie";"3";;;"principale";"2";"";;"";;"secondaire";"1";"principale";;"principale";;"principale";;"";;"";;"";;"";;"";;;"principale";"";;"";;"principale";;;"";;"";;"";;"";;;"";;"secondaire";;"";;"secondaire";;"secondaire";;"";"";"";"";"";"";"";"";"";;"";;"";;"";;"3";"10";"1.5";"principale";"3";"principale";"2";"principale";"1";"";;"principale";"354";"principale";"4";"principale";"7";"";;"principale";"3";"";;"";;"principale";"Hors les murs (ateliers en classe)";"105";"principale";"";;"principale";"68";"principale";"7800";"630";"";;"";;"";;"";;;"";;"";;"";;"";;"";;"";"";"principale";"";"";"";"";"";"principale";"inventaires naturalistes locaux ";"";;"";;"";;"Site dédié";"www.museum.bayonne.fr";"non";"Aucun";"Aucune";;;"Communication";"moins de 10%"
130;;"BESANCON - MUSÉUM";"Plurithématique";"Environnement, écologie, sciences de la Terre, agronomie, Sciences du vivant, médecine, biologie";"1";;;"principale";"1";"";;"";;"";;"principale";;"secondaire";;"principale";;"";;"secondaire";;"secondaire";;"";;"";;;"principale";"";;"";;"";;;"";;"";;"";;"";;;"";;"";;"";;"";;"";;"secondaire";"";"";"";"";"";"";"";"";;"";;"";;"";;"1";"5";;"secondaire";"1";"secondaire";"1";"";;"";;"principale";;"secondaire";"1";"principale";;"";;"";;"principale";;"";;"";;;"principale";"";;"";;"secondaire";"5000";"10";"principale";"35";"";;"";;"";;;"";;"secondaire";"0";"";;"";;"";;"";"";"";"";"";"secondaire";"";"";"";;"";;"";;"";;"Site dédié, Page ou rubrique sur un site (ex: sur le site de la mairie)";"www.citadelle.com";"oui";"Facebook, Twitter";"Aucune";;;"Communication, Médiation, Valorisation patrimoniale";"moins de 10%"
292;;"BÉZIERS - MUSEE DU BITERROIS";"Plurithématique";"Environnement, écologie, sciences de la Terre, agronomie, Sciences du vivant, médecine, biologie, Sciences humaines et sociales";;;;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;;"";"";;"";;"";;;"";;"";;"";;"";;;"";;"";;"";;"";;"";;"";"";"";"";"";"";"";"";"";;"";;"";;"";;"1";"1";"0.12";"principale";"1";"principale";"1";"";;"";;"";;"principale";"4";"principale";"10";"";;"";;"";;"";;"";;;"principale";"";;"";;"principale";"500";;"";;"";;"";;"";;;"";;"";;"";;"principale";"4";"";;"";"principale";"";"";"";"";"";"";"";;"";;"";;"";;"Aucun";;"";"Aucun";"Aucune";;;"";"50% à < 75%"
