"id_fiche";"titrePublics - {{listefiche18}}";"listefiche18 *";"textebf_frequentation_gratuit_20081";"textebf_frequentation_payant_20081";"textebf_frequentation_sur_site_20081";"textebf_frequentation_horslesmurs_20081";"textebf_frequentation_individuels_total_20081";"textebf_frequentation_individuels_etrangers_20081";"textebf_frequentation_individuels_nationaux_departement_20081";"textebf_frequentation_individuels_nationaux_hors_departement_20081";"textebf_frequentation_groupes_total_20081";"textebf_frequentation_groupes_scolaires_20081";"textebf_frequentation_groupes_loisirs_20081";"textebf_frequentation_total_20081";"textebf_frequentation_gratuit_20091";"textebf_frequentation_payant_20091";"textebf_frequentation_sur_site_20091";"textebf_frequentation_horslesmurs_20091";"textebf_frequentation_individuels_total_20091";"textebf_frequentation_individuels_etrangers_20091";"textebf_frequentation_individuels_nationaux_departement_20091";"textebf_frequentation_individuels_nationaux_hors_departement_20091";"textebf_frequentation_groupes_total_20091";"textebf_frequentation_groupes_scolaires_20091";"textebf_frequentation_groupes_loisirs_20091";"textebf_frequentation_total_20091";"textebf_frequentation_gratuit_20101";"textebf_frequentation_payant_20101";"textebf_frequentation_sur_site_20101";"textebf_frequentation_horslesmurs_20101";"textebf_frequentation_individuels_total_20101";"textebf_frequentation_individuels_etrangers_20101";"textebf_frequentation_individuels_nationaux_departement_20101";"textebf_frequentation_individuels_nationaux_hors_departement_20101";"textebf_frequentation_groupes_total_20101";"textebf_frequentation_groupes_scolaires_20101";"textebf_frequentation_groupes_loisirs_20101";"textebf_frequentation_total_20101";"textebf_frequentation_gratuit_20111";"textebf_frequentation_payant_20111";"textebf_frequentation_sur_site_20111";"textebf_frequentation_horslesmurs_20111";"textebf_frequentation_individuels_total_20111";"textebf_frequentation_individuels_etrangers_20111";"textebf_frequentation_individuels_nationaux_departement_20111";"textebf_frequentation_individuels_nationaux_hors_departement_20111";"textebf_frequentation_groupes_total_20111";"textebf_frequentation_groupes_scolaires_20111";"textebf_frequentation_groupes_loisirs_20111";"textebf_frequentation_total_20111";"textelongbf_frequentation_publics_commentaires";"checkbox36";"liste26bf_publics_comptage_separe";"textelongbf_publics_commentaires";"liste26bf_publics_enquetes";"liste26bf_consultations_scientifiques_chercheurs_2010";"liste127bf_consultations_scientifiques_chercheurs_nombre_2010";"liste26bf_consultations_scientifiques_etudiants_2010";"liste127bf_consultations_scientifiques_etudiants_nombre_2010";"textebf_consultations_duree_cumulee_20101";"checkbox44bf_types_consultations_botanique_2010";"checkbox128bf_types_consultations_botanique_systematique_2010";"checkbox129bf_types_consultations_botanique_biogeographiefloristique_2010";"checkbox130bf_types_consultations_botanique_prelevement_2010";"checkbox50bf_types_consultations_botanique_autre_2010";"checkbox60bf_types_consultations_zoologie_2010";"checkbox128bf_types_consultations_zoologie_systematique_2010";"checkbox131bf_types_consultations_zoologie_biogeographiefaunistique_2010";"checkbox134bf_types_consultations_zoologie_ecologie_2010";"checkbox130bf_types_consultations_zoologie_prelevement_2010";"checkbox50bf_types_consultations_zoologie_autre_2010";"checkbox54bf_types_consultations_geologie_2010";"checkbox132bf_types_consultations_geologie_systematique_2010";"checkbox133bf_types_consultations_geologie_paleoecologie_2010";"checkbox130bf_types_consultations_geologie_prelevement_2010";"checkbox50bf_types_consultations_geologie_autre_2010";"checkbox57bf_types_consultations_paleontologie_2010";"checkbox132bf_types_consultations_paleontologie_systematique_2010";"checkbox133bf_types_consultations_paleontologie_paleoecologie_2010";"checkbox130bf_types_consultations_paleontologie_prelevement_2010";"checkbox50bf_types_consultations_paleontologie_autre_2010";"checkbox106bf_types_consultations_geologie_2010";"checkbox50bf_types_consultations_autre_2010";"liste26bf_consultations_scientifiques_chercheurs_2011";"liste127bf_consultations_scientifiques_chercheurs_nombre_2011";"liste26bf_consultations_scientifiques_etudiants_2011";"liste127bf_consultations_scientifiques_etudiants_nombre_2011";"textebf_consultations_duree_cumulee_20111";"checkbox44bf_types_consultations_botanique_2011";"checkbox128bf_types_consultations_botanique_systematique_2011";"checkbox129bf_types_consultations_botanique_biogeographiefloristique_2011";"checkbox130bf_types_consultations_botanique_prelevement_2011";"checkbox50bf_types_consultations_botanique_autre_2011";"checkbox60bf_types_consultations_zoologie_2011";"checkbox128bf_types_consultations_zoologie_systematique_2011";"checkbox131bf_types_consultations_zoologie_biogeographiefaunistique_2011";"checkbox134bf_types_consultations_zoologie_ecologie_2011";"checkbox130bf_types_consultations_zoologie_prelevement_2011";"checkbox50bf_types_consultations_zoologie_autre_2011";"checkbox54bf_types_consultations_geologie_2011";"checkbox132bf_types_consultations_geologie_systematique_2011";"checkbox133bf_types_consultations_geologie_paleoecologie_2011";"checkbox130bf_types_consultations_geologie_prelevement_2011";"checkbox50bf_types_consultations_geologie_autre_2011";"checkbox57bf_types_consultations_paleontologie_2011";"checkbox132bf_types_consultations_paleontologie_systematique_2011";"checkbox133bf_types_consultations_paleontologie_paleoecologie_2011";"checkbox130bf_types_consultations_paleontologie_prelevement_2011";"checkbox50bf_types_consultations_paleontologie_autre_2011";"checkbox106bf_types_consultations_geologie_2011";"checkbox50bf_types_consultations_autre_2011"
313;;"AIX-EN-PROVENCE - MUSÉUM D\'HISTOIRE NATURELLE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"29533";"10844";"36696";"3681";"28984";"6797";"14202";"7985";"6350";"4819";"1531";"40377";"le comptage par typr de public ne concerne pas la catégorie hors les murs";"Manuel, Billetterie manuelle, Automatique, Billetterie informatisée";"non";"Billeterie manuelle pour les événements organisés à l'extérieur";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"5 à 9";"oui";"5 à 9";;"Botanique";"Systématique";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Paléontologie";"";"";"Avec prélèvement";"";"";""
63;;"ANGERS - MUSÉUM DES SCIENCES NATURELLES";"3475";"12009";"15484";;;;;;;;;"15484";;;"16025";;"13863";;;;"2162";"2162";;"16025";"3124";"13944";"17068";;"15277";;;;"1791";"1791";;"17068";"11048";"2703";"13274";"477";"9915";;;;"3836";"2116";"421";"13751";"";"Automatique, Billetterie informatisée";"non";"il ne tient pas compte de la fréquentation de l'arboretum de la Ville d'Angers dans lequel est implanté le jardin des biotopes, dispositif en place depuis 2008, issu d'un partenariat entre les Parcs et jardins et le muséum";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"oui";"5 à 9";;"";"";"";"";"";"";"";"";"";"";"";"Géologie";"";"";"";"Autre ()";"Paléontologie";"";"";"";"Autre ()";"Histoire des sciences";""
279;;"ANNECY - MUSÉES DE L\'AGGLOMÉRATION D\'ANNECY / MUSÉE-CHÂTEAU";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"35573";"44540";"80113";"0";"76439";"27264";"31898";"6528";"3674";"2931";"743";"80113";"";"Billetterie manuelle, Automatique, Billetterie informatisée";"non";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"5 à 9";"oui";"1 à 4";"10";"Botanique";"";"";"";"";"";"";"";"";"";"";"Géologie";"Systématique (types)";"Paléoécologie-environnement";"";"";"Paléontologie";"";"";"";"";"";""
98;;"AURILLAC - MUSÉUM DES VOLCANS";;;;;;;;;;;;"13573";;;;;;;;;;;;"13145";;;;;;;;;;;;"11244";"8597";"4630";"12227";"1000";"11027";;;;"2200";"2000";"200";"13227";"";"Automatique, Billetterie informatisée";"non";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"non";"";"non";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
68;;"AUTUN - MUSÉUM D\'HISTOIRE NATURELLE JACQUES DE LA COMBLE";;;;;;;;;"5131";"2302";;;;;;;;;;;"5038";"2086";;;;;;;;;;;;;;;;;;;;;;;"4982";"2073";;;"";"Manuel";"non";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"";"oui";"";;"Botanique";"";"";"";"";"";"";"";"";"";"";"Géologie";"";"";"";"";"Paléontologie";"";"";"";"";"";""
73;;"AUXERRE - MUSÉUM - MAISON DE L\'EAU";"12208";;"11395";"813";"6475";;;;"5697";"5298";;"12208";"13405";;"11973";"1432";"6920";;;;"6485";"6058";;"13405";"17207";;;;"9930";;;;"7277";"6583";;"17207";"11575";"0";"10306";"1269";"7651";;;;"3924";"3022";"902";"11575";"";"Manuel, Billetterie manuelle";"non";"Le mode de comptage ne permet pas de connaître la provenance géographique des visiteurs individuels.";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Paléontologie";"";"";"";"";"";""
95;;"AVIGNON - MUSEUM REQUIEN";"21292";;"21292";;"18517";;;;"2775";"2775";;"21292";"18141";;"18141";;"15235";;;;"2906";"2906";;"18141";"18442";;"18442";;"15124";;;;"3318";"3318";;"18442";"15875";;"15875";;"15854";"2641";;;"2021";"1981";"82";"15875";"Dans le total groupe est inclus le nombre de personnes appartenant à des associations naturalistes";"Manuel, Compteur à main";"non";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"10 à 19";"oui";"10 à 19";"39";"Botanique";"Systématique";"";"";"";"";"";"";"";"";"";"Géologie";"";"";"Avec prélèvement";"";"Paléontologie";"";"";"Avec prélèvement";"";"";"Autre (ostéologie pour comparaison en archéozoologie)"
109;;"BAYONNE - MUSÉUM D\'HISTOIRE NATURELLE";"0";"0";"0";"0";"0";;;;"0";;;"0";"0";"0";"0";"0";"0";;;;"0";;;"0";;;"7800";;"7110";;;;"690";"180";;"7800";"23500";;"23500";;"22630";;;;"870";"650";"220";"23500";"";"Manuel, Compteur à main";"oui";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"non";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Autre (Ethnologie)"
131;;"BESANCON - MUSÉUM";;;;;;;;;;"25000";;"262851";;;;;;;;;;"25000";;"248783";;;;;;;;;;"25000";;"233153";"52000";"200000";"252000";;"252000";;"120000";;"25000";"25000";;"25000";"";"Automatique, Billetterie informatisée";"non";"";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"20 à 49";"oui";"20 à 49";"300";"";"";"";"";"";"Zoologie";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
294;;"BÉZIERS - MUSEE DU BITERROIS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"14350";"3054";"17404";;"7700";;;;"9704";;;"17404";"à peine 5% de ce public accède aux collections du muséum";"Manuel, Billetterie manuelle";"oui";"séparation manuelle";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"non";"";"10";"Botanique";"";"";"";"";"Zoologie";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
